distance_from_home,distance_from_last_transaction,ratio_to_median_purchase_price,repeat_retailer,used_chip,used_pin_number,online_order,fraud
14.14,0.98,2.02,0,1,0,1,0
18.85,0.55,0.38,1,0,0,1,0
189.93,76.0,17.77,0,1,0,1,1
22.78,7.69,2.21,0,1,1,0,0
41.01,2.22,2.76,1,1,1,0,0
48.63,0.42,1.89,1,1,0,0,0
3.18,5.95,3.6,1,0,0,1,0
2.26,1.07,2.91,1,1,0,0,0
11.45,8.99,1.85,1,0,0,1,0
171.07,74.25,10.53,0,1,0,1,1
9.56,12.51,0.28,1,0,0,0,0
23.68,3.05,0.77,1,1,0,0,0
3.74,8.16,1.76,1,1,1,0,0
12.87,0.74,3.36,1,1,1,0,0
112.27,55.09,8.69,0,1,0,1,1
9.74,72.14,15.08,1,0,0,1,1
11.11,2.66,3.76,1,0,0,0,0
14.8,7.63,1.46,0,0,0,0,0
164.17,81.63,12.7,0,0,0,1,1
2.91,5.55,0.27,1,0,0,0,0
21.31,0.22,2.99,1,0,1,0,0
158.21,35.9,13.54,1,0,0,1,1
7.06,1.25,1.94,1,1,0,1,0
7.35,0.73,2.91,1,1,0,0,0
0.92,0.73,3.42,1,0,0,1,0
23.38,5.08,2.48,0,1,1,0,0
10.08,27.2,2.41,1,0,1,1,0
5.95,4.33,3.58,1,0,1,0,0
0.61,3.18,3.1,0,1,0,1,0
9.03,1.38,2.28,0,1,1,0,0
15.65,0.48,1.97,1,1,1,1,0
165.78,2.03,15.89,1,1,0,1,1
0.5,2.77,1.15,1,1,1,1,0
17.62,73.97,9.89,0,0,0,1,1
1.04,6.18,0.9,1,0,0,0,0
13.02,15.98,0.92,1,0,0,0,0
4.87,0.33,1.45,1,1,0,1,0
11.42,1.73,2.52,1,1,1,1,0
17.84,43.07,9.86,0,0,0,1,1
14.8,1.73,3.88,1,0,0,0,0
5.17,0.33,3.5,1,1,1,0,0
15.58,1.97,2.41,1,1,0,0,0
15.79,97.66,8.8,0,0,0,1,1
5.04,18.1,3.37,1,1,0,0,0
6.33,0.92,13.39,0,0,0,1,1
37.97,2.59,2.05,0,1,0,0,0
55.7,2.01,2.85,1,0,1,1,0
2.39,4.16,3.64,1,1,1,1,0
96.21,4.2,8.94,1,0,0,1,1
0.34,3.87,1.84,1,0,1,0,0
13.94,14.36,3.64,1,0,1,0,0
5.02,2.16,3.91,1,0,1,0,0
24.42,1.7,3.24,1,1,1,0,0
1.35,1.16,1.95,1,1,0,1,0
1.39,2.63,3.67,1,1,1,1,0
107.27,86.1,13.17,0,0,0,0,1
46.86,8.99,1.94,1,1,0,0,0
4.21,0.64,1.18,1,0,1,0,0
30.41,4.94,1.96,1,0,1,0,0
2.67,0.3,1.35,1,0,0,0,0
36.47,2.2,1.23,1,1,1,1,0
1.49,6.98,2.22,1,1,1,0,0
17.49,0.5,2.36,1,0,1,0,0
6.24,12.08,0.5,0,0,0,1,0
26.7,3.73,2.18,1,1,0,0,0
188.51,49.01,23.13,0,0,0,1,1
83.35,0.71,10.21,0,0,0,0,1
21.24,0.22,0.52,1,1,0,0,0
1.03,5.51,3.04,1,1,0,1,0
6.5,0.48,3.4,1,1,0,0,0
19.56,1.38,2.32,0,1,0,0,0
4.97,11.6,2.19,1,0,0,0,0
6.85,4.45,1.81,1,0,0,0,0
3.87,0.6,3.94,0,0,0,1,0
12.22,0.21,1.38,0,0,1,0,0
8.8,4.04,1.23,1,0,0,1,0
17.05,0.99,4.0,1,0,0,1,0
110.09,94.02,9.1,1,0,0,1,1
16.76,3.57,21.42,1,0,0,1,1
9.94,1.63,3.1,0,0,0,1,0
1.99,3.39,19.55,0,0,0,0,1
21.89,7.87,0.89,1,1,0,0,0
11.87,15.24,0.22,1,1,0,0,0
9.23,0.17,2.27,1,0,1,0,0
14.31,72.81,17.73,0,1,0,1,1
53.04,4.8,1.48,1,0,0,0,0
6.44,6.78,0.2,1,0,0,0,0
6.49,5.41,1.07,1,1,1,0,0
6.18,0.1,1.37,1,1,1,1,0
17.86,4.43,3.94,1,0,1,1,0
100.4,47.16,14.18,0,0,0,1,1
11.51,1.69,0.29,1,1,0,1,0
64.21,84.09,11.57,1,0,0,1,1
11.65,1.12,1.67,1,1,1,0,0
179.41,96.97,15.94,1,0,0,1,1
12.52,4.93,2.14,1,0,0,1,0
8.57,1.92,3.34,0,0,0,1,0
4.44,4.6,1.68,0,0,0,1,0
12.31,2.86,2.62,0,0,0,0,0
16.12,0.97,3.42,1,1,0,1,0
180.08,49.07,9.54,1,0,0,1,1
40.53,3.69,3.33,1,1,0,1,0
1.96,8.22,1.38,1,0,1,0,0
2.34,0.96,3.88,1,0,1,0,0
44.55,1.9,1.75,1,1,1,1,0
18.86,8.61,0.18,1,1,1,1,0
17.6,7.77,1.03,1,0,1,0,0
1.95,10.09,3.44,1,1,0,1,0
1.42,8.65,1.02,1,1,1,1,0
21.83,2.61,0.23,1,1,1,0,0
27.6,6.32,3.52,1,1,1,0,0
13.82,8.39,2.98,1,0,0,1,0
23.48,0.73,1.66,1,0,0,0,0
52.43,8.88,3.08,1,1,1,0,0
19.93,1.51,2.78,1,1,0,0,0
31.36,14.48,3.55,1,1,1,1,0
35.6,18.27,0.87,1,0,0,0,0
1.4,2.29,3.79,0,1,0,1,0
16.79,0.63,2.88,0,1,1,0,0
2.09,9.7,2.44,1,0,1,0,0
2.37,1.71,1.12,1,1,0,1,0
0.16,0.71,1.36,1,1,1,1,0
4.44,0.5,0.33,1,0,1,1,0
51.26,4.56,3.02,0,0,1,0,0
6.95,17.22,2.28,1,0,1,1,0
2.12,1.91,2.17,0,0,0,0,0
27.01,6.89,3.71,1,1,1,1,0
5.63,11.16,1.33,1,1,0,1,0
24.01,0.27,0.68,1,0,0,1,0
80.09,13.1,0.26,1,1,0,0,0
30.25,0.66,0.46,1,0,0,0,0
33.23,4.41,2.38,1,1,1,0,0
151.54,74.5,14.7,0,1,0,1,1
148.93,4.78,24.49,1,1,0,1,1
47.34,4.21,0.92,0,1,0,0,0
107.21,97.2,9.52,1,0,0,1,1
15.92,0.64,2.01,1,1,0,1,0
174.81,90.83,17.57,0,0,0,1,1
8.33,0.21,1.43,1,0,1,0,0
14.9,3.72,1.23,1,1,0,0,0
176.23,1.48,8.77,0,0,0,1,1
4.38,1.47,0.42,1,0,1,0,0
7.49,0.43,3.52,1,1,0,1,0
4.62,17.01,3.5,0,0,1,1,0
1.69,3.82,0.12,0,0,0,1,0
50.63,4.61,2.0,1,1,0,1,0
7.54,1.8,0.59,0,0,0,1,0
3.52,5.23,2.63,1,1,1,0,0
9.34,3.21,0.19,0,0,1,1,0
29.47,4.4,0.89,1,1,0,0,0
18.73,19.43,3.41,1,1,1,0,0
9.99,4.47,2.48,1,1,0,1,0
8.22,1.9,0.35,1,1,0,0,0
6.39,5.98,0.18,1,0,0,0,0
35.97,2.07,2.45,1,1,0,0,0
48.21,8.95,2.73,1,1,1,1,0
4.98,6.92,2.7,0,0,1,0,0
76.17,1.81,0.92,0,0,1,0,0
26.4,11.24,0.22,0,1,1,0,0
4.47,2.08,1.49,0,1,0,0,0
10.87,5.54,2.85,1,1,0,1,0
141.59,4.74,9.79,1,1,0,1,1
8.74,3.53,2.96,0,1,0,0,0
8.67,2.69,3.1,1,1,0,0,0
163.23,32.13,15.17,0,1,0,1,1
28.7,7.91,1.51,0,0,0,1,0
1.33,1.89,3.93,0,0,1,1,0
34.92,0.3,2.56,1,1,1,0,0
17.13,4.03,1.29,1,1,0,0,0
37.97,6.02,1.84,1,1,1,1,0
32.8,7.61,1.68,0,0,0,0,0
20.21,0.67,3.97,1,0,1,0,0
2.62,0.14,3.21,1,0,1,1,0
1.76,0.31,1.55,1,0,0,1,0
160.53,84.43,17.62,1,0,0,1,1
5.02,7.68,2.89,1,1,1,0,0
13.1,8.65,1.51,0,1,1,0,0
121.44,62.1,16.82,0,0,0,1,1
40.11,3.36,3.9,1,0,0,1,0
14.09,57.87,24.05,0,1,0,1,1
11.44,1.86,16.26,1,0,0,0,1
32.98,1.21,3.29,1,0,0,1,0
12.77,4.17,3.61,1,1,1,1,0
10.54,3.09,1.85,1,1,0,1,0
7.91,1.33,1.64,1,1,1,1,0
30.14,6.14,2.33,1,1,1,0,0
3.21,4.82,2.35,0,1,0,0,0
1.92,13.76,0.8,0,1,0,1,0
8.81,8.22,2.47,1,0,1,0,0
8.04,9.82,1.34,1,0,0,0,0
63.44,33.54,13.53,0,0,0,1,1
5.88,2.35,3.33,0,0,1,0,0
20.94,2.43,0.55,0,1,0,0,0
3.99,10.86,1.15,1,1,0,0,0
5.45,2.61,0.43,1,0,1,0,0
22.85,3.86,1.75,1,1,0,0,0
5.12,17.89,0.1,1,1,1,1,0
6.49,5.0,2.38,1,0,1,0,0
7.55,0.66,0.64,1,0,0,1,0
5.75,5.73,1.44,1,1,0,0,0
6.27,3.08,2.44,0,1,1,0,0
34.76,5.58,1.71,1,1,1,0,0
15.71,0.4,0.22,1,1,1,0,0
26.36,2.22,0.79,1,1,0,0,0
8.82,1.25,0.18,1,1,0,0,0
5.42,6.33,1.01,1,0,0,1,0
3.52,1.09,3.3,1,1,1,0,0
16.18,4.17,2.76,1,0,0,0,0
12.66,1.29,2.14,1,0,1,1,0
11.42,1.46,2.28,1,1,1,1,0
114.88,74.41,14.15,1,1,0,1,1
8.94,0.03,0.86,0,1,0,1,0
8.27,0.39,1.07,0,0,1,0,0
24.76,4.49,2.54,1,0,0,0,0
0.84,2.03,3.2,1,1,1,1,0
12.97,0.45,0.34,0,0,1,0,0
116.29,25.26,17.51,0,0,0,1,1
13.73,5.39,0.14,1,1,1,1,0
41.61,7.64,1.87,1,0,0,0,0
79.04,40.5,20.32,0,0,0,0,1
8.59,16.06,3.04,1,1,1,0,0
6.3,2.3,0.13,1,1,0,0,0
29.35,2.74,0.86,1,1,1,0,0
17.8,20.07,2.44,1,1,1,1,0
2.66,3.03,3.18,0,0,0,0,0
14.67,1.37,2.96,1,0,1,0,0
68.9,2.25,0.39,0,0,0,0,0
21.76,0.22,0.22,0,0,1,1,0
12.13,0.98,0.18,1,1,0,1,0
23.23,0.59,3.75,1,0,1,1,0
56.65,30.36,3.54,1,0,0,1,0
3.19,2.38,1.56,1,1,0,0,0
3.14,3.83,3.18,1,0,1,1,0
51.81,10.85,0.92,0,1,1,0,0
20.87,5.18,2.09,1,1,0,0,0
18.86,3.41,1.15,1,1,1,0,0
3.4,9.95,1.64,1,1,1,1,0
12.0,0.72,0.43,1,0,1,0,0
8.33,3.15,1.69,1,0,0,0,0
15.55,2.22,0.42,1,1,1,1,0
1.55,0.37,0.25,1,0,0,0,0
17.26,1.6,2.85,1,1,1,1,0
0.13,1.78,3.31,1,1,0,0,0
9.58,3.59,3.07,0,0,0,1,0
10.88,7.71,3.05,1,1,1,0,0
22.05,5.99,0.92,1,1,0,0,0
51.45,47.19,19.66,0,0,0,1,1
15.71,46.42,18.25,1,1,1,1,1
11.47,1.04,0.52,1,1,1,0,0
54.81,2.44,24.37,0,0,0,0,1
75.77,2.05,17.12,0,0,0,1,1
114.83,68.3,17.99,0,0,0,0,1
109.89,92.82,15.82,0,0,0,1,1
18.08,6.22,1.26,1,1,0,0,0
19.82,3.06,3.65,0,1,0,1,0
30.67,1.6,2.55,1,1,1,1,0
10.2,24.39,2.26,1,0,0,1,0
8.99,1.46,2.07,1,0,1,1,0
20.55,9.68,1.65,0,0,1,0,0
9.95,0.35,2.24,1,1,0,1,0
2.81,0.09,0.49,1,1,0,0,0
16.97,0.83,1.5,1,0,1,0,0
27.16,8.34,2.6,1,1,0,0,0
165.86,4.64,9.55,0,1,0,1,1
3.74,10.7,3.21,1,0,0,0,0
6.54,63.34,10.05,0,0,0,1,1
7.39,3.07,0.36,1,1,0,0,0
5.38,4.57,3.93,0,1,1,1,0
47.93,4.58,3.93,1,1,1,1,0
15.13,10.77,1.34,1,1,0,1,0
7.23,5.12,1.01,1,1,0,1,0
5.54,6.7,3.05,1,0,0,0,0
3.43,0.19,3.7,1,1,1,0,0
15.48,7.15,2.13,1,1,0,0,0
6.04,1.39,2.2,1,1,0,1,0
14.05,2.4,1.35,1,0,1,0,0
15.09,0.76,0.9,0,1,1,1,0
1.22,6.45,1.31,1,0,0,0,0
8.92,5.05,1.16,1,0,1,0,0
8.73,3.52,2.97,1,1,1,0,0
28.87,7.11,3.69,1,0,1,0,0
9.07,2.35,2.46,0,0,0,0,0
0.19,3.47,2.93,1,1,1,1,0
10.09,5.12,2.39,1,0,1,0,0
3.24,2.87,1.1,1,1,1,0,0
17.88,5.26,3.71,1,0,0,1,0
16.92,5.98,2.62,1,1,1,0,0
45.48,9.21,0.15,1,1,1,0,0
34.69,3.65,0.84,1,1,0,0,0
16.12,2.41,1.3,1,1,1,0,0
22.49,2.11,0.66,1,1,0,0,0
25.42,0.01,0.37,1,1,1,1,0
7.04,6.09,0.87,0,1,0,1,0
0.91,1.01,3.06,1,1,0,1,0
30.42,0.91,1.24,1,0,0,0,0
16.76,0.53,0.34,1,0,1,1,0
51.09,80.91,16.04,0,0,0,1,1
25.46,14.15,2.69,1,0,0,0,0
154.75,31.11,22.77,0,0,0,1,1
16.13,3.22,1.71,0,1,1,1,0
56.86,55.54,14.8,1,0,0,1,1
64.99,9.73,3.63,1,0,0,0,0
12.73,9.72,2.07,0,1,0,1,0
31.17,0.92,1.84,0,1,0,0,0
16.17,0.47,1.8,1,0,1,1,0
3.73,1.49,1.96,1,0,0,0,0
1.42,5.88,3.5,1,1,1,1,0
18.96,6.66,1.59,1,1,1,1,0
1.84,0.46,0.45,1,1,1,0,0
28.79,15.4,2.35,0,0,1,1,0
5.78,2.27,2.75,1,1,1,0,0
11.59,3.09,0.66,1,1,0,0,0
2.37,5.47,3.23,1,1,0,1,0
155.98,59.6,14.4,1,0,0,1,1
24.94,6.03,0.31,1,0,0,0,0
16.15,9.44,3.97,1,0,1,1,0
7.44,3.75,1.2,1,0,1,0,0
137.06,76.77,10.78,0,0,0,1,1
20.7,6.65,0.14,1,1,1,1,0
114.07,27.68,11.05,0,1,0,1,1
14.79,2.59,0.23,1,1,1,1,0
7.06,5.88,3.2,1,1,1,1,0
15.88,2.29,0.57,0,1,1,0,0
11.46,3.73,16.23,1,0,0,0,1
18.18,21.58,17.12,1,0,0,1,1
23.41,0.66,3.04,1,1,0,0,0
12.14,8.06,0.58,0,0,0,0,0
0.53,19.54,2.07,1,1,0,1,0
191.93,72.73,17.81,1,0,1,1,1
3.53,0.52,3.3,1,0,0,1,0
13.82,1.22,1.5,0,1,0,0,0
35.1,2.55,0.42,1,1,1,0,0
199.3,49.77,21.95,1,0,0,1,1
0.39,4.63,0.4,0,0,1,0,0
6.76,2.03,1.17,1,0,0,0,0
7.14,0.55,3.71,0,1,0,1,0
11.29,6.03,3.48,1,1,1,0,0
7.4,2.12,2.99,1,1,1,1,0
2.05,0.05,2.1,0,0,0,1,0
196.17,68.7,11.11,1,0,0,1,1
42.63,10.66,3.27,1,1,1,0,0
1.42,0.41,2.95,1,0,0,1,0
10.18,10.37,3.85,1,1,1,0,0
92.88,10.95,2.82,1,1,1,1,0
18.19,6.92,1.05,1,1,1,1,0
14.09,4.67,3.86,1,1,1,0,0
127.05,2.11,9.92,1,0,0,1,1
5.98,3.69,13.18,1,0,0,0,1
14.43,3.35,1.49,1,0,0,0,0
3.09,2.19,0.5,1,0,1,0,0
73.34,1.13,15.28,0,1,0,1,1
2.65,2.18,1.79,1,1,0,0,0
161.59,35.92,19.31,0,0,0,1,1
5.89,7.23,3.54,1,1,1,0,0
2.16,2.5,19.53,0,1,0,1,1
9.98,7.15,1.07,0,1,0,1,0
77.4,1.42,3.3,0,1,1,1,0
3.0,24.5,2.41,1,0,0,0,0
39.7,2.78,2.5,0,0,0,0,0
3.95,2.05,1.97,1,1,0,0,0
6.49,2.71,1.35,0,0,0,1,0
9.58,11.96,0.49,0,1,0,0,0
132.77,1.66,21.24,0,0,0,1,1
32.73,0.7,3.0,0,1,1,1,0
18.29,12.98,0.39,1,0,1,1,0
19.14,0.22,0.85,1,0,1,1,0
55.41,11.26,1.85,1,1,0,0,0
10.51,0.11,2.44,1,0,0,0,0
17.75,6.75,1.65,1,1,1,0,0
7.27,7.56,1.66,1,0,0,0,0
